Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
109,11,35.262554,-59.45357,35.262554,-59.45277,89.9997690702229,Fishing
109,16,35.262554,-59.45277,35.26253,-59.452244,93.19824552296564,Fishing
109,19,35.26253,-59.452244,35.2625,-59.451626,93.40218027974436,Fishing
109,22,35.2625,-59.451626,,,,Fishing
111,0,35.26256,-59.455536,35.262573,-59.453186,89.61114684593235,Fishing
111,16,35.262573,-59.453186,35.26276,-59.45244,72.93326892671348,Fishing
111,20,35.26276,-59.45244,35.262974,-59.449673,84.5882836422997,Fishing
111,39,35.262974,-59.449673,35.262497,-59.446777,101.40401849631803,Fishing
111,60,35.262497,-59.446777,35.26263,-59.44592,79.23808193592322,Fishing
111,65,35.26263,-59.44592,35.262333,-59.444653,106.01777843073648,Fishing
111,73,35.262333,-59.444653,35.262177,-59.442745,95.71762886946658,Fishing
111,85,35.262177,-59.442745,,,,Fishing
114,0,35.26263,-59.4555,35.2627,-59.453934,86.86603132182972,Fishing
114,9,35.2627,-59.453934,35.262592,-59.45221,94.38678323962438,Fishing
114,19,35.262592,-59.45221,35.26262,-59.451405,87.5605061338216,Fishing
114,24,35.26262,-59.451405,35.262573,-59.45047,93.52260427467809,Fishing
114,30,35.262573,-59.45047,35.262547,-59.449528,91.93577360831887,Fishing
114,35,35.262547,-59.449528,35.262573,-59.448444,88.31709961912725,Fishing
114,41,35.262573,-59.448444,35.262363,-59.447353,103.26430925402661,Fishing
114,47,35.262363,-59.447353,,,,Fishing
117,0,35.2626,-59.455563,35.2626,-59.45564,270.0000222284689,Fishing
117,2,35.2626,-59.45564,35.2626,-59.45592,270.0000808258026,Fishing
117,4,35.2626,-59.45592,35.2626,-59.45607,270.0000432990323,Fishing
117,6,35.2626,-59.45607,35.262638,-59.456142,302.8777995470494,Fishing
117,8,35.262638,-59.456142,35.262486,-59.455948,133.81804863119692,Fishing
117,12,35.262486,-59.455948,35.262524,-59.4557,79.37151947691302,Fishing
117,15,35.262524,-59.4557,35.262386,-59.455585,145.7674184816226,Fishing
117,17,35.262386,-59.455585,,,,Fishing
118,0,35.262592,-59.455402,35.262608,-59.455215,84.01782844127905,Fishing
118,1,35.262608,-59.455215,35.262634,-59.45506,78.39082512427774,Fishing
118,2,35.262634,-59.45506,35.26267,-59.45492,72.5193039174822,Fishing
118,3,35.26267,-59.45492,35.26268,-59.454792,84.53447403863186,Fishing
118,4,35.26268,-59.454792,35.262684,-59.45464,88.15398370812204,Fishing
118,5,35.262684,-59.45464,35.26266,-59.45448,100.40956994281885,Fishing
118,6,35.26266,-59.45448,35.262627,-59.454273,101.04767048822691,Fishing
118,7,35.262627,-59.454273,,,,Fishing
120,0,35.262585,-59.455532,35.262302,-59.454205,104.63749114836929,Fishing
120,9,35.262302,-59.454205,35.262512,-59.452663,80.53035912974508,Fishing
120,18,35.262512,-59.452663,35.26239,-59.451633,98.25364748961351,Fishing
120,25,35.26239,-59.451633,35.262783,-59.44914,79.0718501140633,Fishing
120,41,35.262783,-59.44914,35.262783,-59.4473,89.99946885876471,Fishing
120,54,35.262783,-59.4473,35.262356,-59.44515,103.6702170104918,Fishing
120,67,35.262356,-59.44515,35.26244,-59.440197,88.808682210533,Fishing
120,98,35.26244,-59.440197,,,,Fishing
127,0,35.2626,-59.455494,35.262707,-59.455273,59.33355027904622,Fishing
127,2,35.262707,-59.455273,35.262722,-59.45516,80.76598432869105,Fishing
127,4,35.262722,-59.45516,35.262638,-59.454987,120.73825978485479,Fishing
127,6,35.262638,-59.454987,35.262424,-59.454754,138.36252817017998,Fishing
127,8,35.262424,-59.454754,35.26223,-59.454296,117.4185806183205,Fishing
127,12,35.26223,-59.454296,35.262486,-59.454082,34.31571146119819,Fishing
127,15,35.262486,-59.454082,35.262405,-59.453922,121.79937217696539,Fishing
127,17,35.262405,-59.453922,,,,Fishing
129,0,35.262585,-59.455616,35.262753,-59.455967,300.37851644236497,Fishing
129,5,35.262753,-59.455967,35.262512,-59.455486,121.53448193287892,Fishing
129,11,35.262512,-59.455486,35.2625,-59.45578,267.1383412103681,Fishing
129,27,35.2625,-59.45578,35.261444,-59.455593,171.77244137906507,Fishing
129,49,35.261444,-59.455593,35.26121,-59.45462,106.41109842867058,Fishing
129,68,35.26121,-59.45462,35.26175,-59.454056,40.45791074498061,Fishing
129,83,35.26175,-59.454056,35.26161,-59.454433,245.54420057352283,Fishing
129,98,35.26161,-59.454433,,,,Fishing
134,0,35.262585,-59.45551,35.26257,-59.455173,93.1201590543725,Fishing
134,2,35.26257,-59.455173,35.262543,-59.45456,93.08756505154605,Fishing
134,5,35.262543,-59.45456,35.262573,-59.45418,84.47723160728947,Fishing
134,8,35.262573,-59.45418,35.262646,-59.45386,74.390140353726,Fishing
134,10,35.262646,-59.45386,35.262676,-59.453472,84.59040920534204,Fishing
134,12,35.262676,-59.453472,35.26265,-59.453053,94.34582504158755,Fishing
134,14,35.26265,-59.453053,35.2626,-59.452526,96.62773268434847,Fishing
134,17,35.2626,-59.452526,,,,Fishing
139,0,35.262634,-59.45575,35.262417,-59.45615,236.39970223862224,Fishing
139,4,35.262417,-59.45615,35.263775,-59.454178,49.85527998025549,Fishing
139,39,35.263775,-59.454178,35.263577,-59.454723,246.01351983678626,Fishing
139,46,35.263577,-59.454723,35.263416,-59.454456,126.44610322663658,Fishing
139,51,35.263416,-59.454456,35.26355,-59.455322,280.73101037561946,Fishing
139,73,35.26355,-59.455322,35.26356,-59.454975,87.9784913996773,Fishing
139,78,35.26356,-59.454975,35.263264,-59.455658,242.0419008966437,Fishing
139,98,35.263264,-59.455658,,,,Fishing
143,0,35.2626,-59.455494,35.262394,-59.45154,93.64976193682043,Fishing
143,25,35.262394,-59.45154,35.2626,-59.449768,81.89636354261796,Fishing
143,36,35.2626,-59.449768,35.26254,-59.449024,95.6404536895734,Fishing
143,41,35.26254,-59.449024,35.26266,-59.44838,77.1445873719818,Fishing
143,45,35.26266,-59.44838,35.262794,-59.445965,86.1117184686583,Fishing
143,60,35.262794,-59.445965,35.26267,-59.44257,92.5602693710066,Fishing
143,82,35.26267,-59.44257,35.262894,-59.440243,83.27558320677758,Fishing
143,98,35.262894,-59.440243,,,,Fishing
146,0,35.262646,-59.45545,35.26277,-59.454113,83.51935832001607,Fishing
146,9,35.26277,-59.454113,35.26325,-59.453022,61.68240297724378,Fishing
146,16,35.26325,-59.453022,35.2634,-59.4493,87.17323148445945,Fishing
146,39,35.2634,-59.4493,35.263035,-59.447887,107.55520198186343,Fishing
146,48,35.263035,-59.447887,35.263386,-59.444477,82.81396658020208,Fishing
146,70,35.263386,-59.444477,35.263718,-59.443405,69.22788423500742,Fishing
146,76,35.263718,-59.443405,35.263775,-59.44206,87.02843934316013,Fishing
146,85,35.263775,-59.44206,,,,Fishing
147,0,35.262608,-59.455486,35.262615,-59.455296,87.41644375803946,Fishing
147,1,35.262615,-59.455296,35.262608,-59.45511,92.63892915557858,Fishing
147,2,35.262608,-59.45511,35.2626,-59.45492,92.9519058244552,Fishing
147,3,35.2626,-59.45492,35.262604,-59.454777,88.03789627536122,Fishing
147,4,35.262604,-59.454777,35.262608,-59.45462,88.21273411597343,Fishing
147,5,35.262608,-59.45462,35.2626,-59.454494,94.44632835129448,Fishing
147,6,35.2626,-59.454494,35.262577,-59.45436,101.8714136940377,Fishing
147,7,35.262577,-59.45436,,,,Fishing
155,0,35.262566,-59.45548,35.2625,-59.45523,107.91725709860066,Fishing
155,2,35.2625,-59.45523,35.26247,-59.45515,114.66780684717622,Fishing
155,4,35.26247,-59.45515,35.262512,-59.454865,79.7690582872504,Fishing
155,7,35.262512,-59.454865,35.262615,-59.454254,78.33454859569616,Fishing
155,11,35.262615,-59.454254,35.262543,-59.453842,102.08053625193855,Fishing
155,14,35.262543,-59.453842,35.262486,-59.453533,102.73037930914114,Fishing
155,18,35.262486,-59.453533,35.262573,-59.452854,81.08153721222402,Fishing
155,22,35.262573,-59.452854,,,,Fishing
158,0,35.262527,-59.455555,35.262436,-59.455456,138.38536861875662,Fishing
158,1,35.262436,-59.455456,35.262344,-59.455307,127.09651569773735,Fishing
158,2,35.262344,-59.455307,35.262375,-59.455143,76.96554291735941,Fishing
158,3,35.262375,-59.455143,35.262455,-59.455006,54.429048718888794,Fishing
158,4,35.262455,-59.455006,35.262547,-59.454906,41.5895700670672,Fishing
158,5,35.262547,-59.454906,35.262573,-59.454758,77.85769708118897,Fishing
158,6,35.262573,-59.454758,35.26257,-59.45461,91.42205310823778,Fishing
158,7,35.26257,-59.45461,,,,Fishing
159,0,35.262573,-59.45544,35.262573,-59.454952,89.99985913256182,Fishing
159,3,35.262573,-59.454952,35.26265,-59.454296,81.8192995937278,Fishing
159,7,35.26265,-59.454296,35.262615,-59.45402,98.8279125363224,Fishing
159,9,35.262615,-59.45402,35.262516,-59.45355,104.46520824986993,Fishing
159,12,35.262516,-59.45355,35.262516,-59.453064,89.99985971066428,Fishing
159,15,35.262516,-59.453064,35.26257,-59.452312,84.97383067762013,Fishing
159,19,35.26257,-59.452312,35.262447,-59.451843,107.80658634073694,Fishing
159,22,35.262447,-59.451843,,,,Fishing
160,0,35.262608,-59.45548,35.262615,-59.45372,89.72040427189211,Fishing
160,11,35.262615,-59.45372,35.26262,-59.452667,89.66650332032134,Fishing
160,17,35.26262,-59.452667,35.262623,-59.4518,89.75694432895733,Fishing
160,23,35.262623,-59.4518,35.262627,-59.45091,89.68437016797418,Fishing
160,29,35.262627,-59.45091,35.26263,-59.44997,89.77577920072099,Fishing
160,35,35.26263,-59.44997,35.262634,-59.44887,89.744516194825,Fishing
160,41,35.262634,-59.44887,35.262638,-59.44792,89.70427073197595,Fishing
160,47,35.262638,-59.44792,,,,Fishing
168,0,35.262558,-59.455444,35.262554,-59.455303,91.98982906916319,Fishing
168,1,35.262554,-59.455303,35.26257,-59.45517,81.61862064894922,Fishing
168,2,35.26257,-59.45517,35.26256,-59.455,94.12054567271315,Fishing
168,3,35.26256,-59.455,35.26257,-59.45482,86.10755094154945,Fishing
168,4,35.26257,-59.45482,35.262558,-59.454636,94.56663014681999,Fishing
168,5,35.262558,-59.454636,35.262547,-59.45447,94.63967729233957,Fishing
168,6,35.262547,-59.45447,35.26252,-59.45432,102.43191254270187,Fishing
168,7,35.26252,-59.45432,,,,Fishing
169,0,35.26263,-59.455517,35.26287,-59.45229,84.79461662444055,Fishing
